Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-08-16,13.42,14.38,13.17,14.08
2017-08-17,14.08,14.25,13.57,13.83
2017-08-18,13.83,14.37,12.51,13.44
2017-08-19,13.44,13.96,13.04,13.51
2017-08-20,13.51,14.18,13.27,13.76
2017-08-21,13.76,15.12,13.72,14.66
2017-08-22,14.66,15.11,13.37,14.41
2017-08-23,14.41,16.65,14.19,15.28
2017-08-24,15.28,15.99,15.04,15.13
2017-08-25,15.13,15.58,14.99,15.15
2017-08-26,15.15,15.33,14.87,15.28
2017-08-27,15.28,16.35,15.15,16.01
2017-08-28,16.01,16.41,15.52,15.74
2017-08-29,15.74,16.1,15.56,15.93
2017-08-30,15.93,16.06,15.73,15.96
2017-08-31,15.96,16.91,15.89,16.78
2017-09-01,16.78,22.89,16.31,22.42
2017-09-02,22.42,24.24,18.25,19.88
2017-09-03,19.88,20.79,18.32,19.18
2017-09-04,19.18,19.22,15.87,16.44
2017-09-05,16.44,17.44,15.39,17.08
2017-09-06,17.08,19.39,17.05,19.26
2017-09-07,19.26,19.32,17.98,18.51
2017-09-08,18.51,18.72,15.91,16.75
2017-09-09,16.75,16.75,15.39,16.32
2017-09-10,16.32,16.33,14.27,15.23
2017-09-11,15.23,16.01,14.83,15.22
2017-09-12,15.22,16.19,14.83,15.01
2017-09-13,15.01,15.04,13.51,14.11
2017-09-14,14.11,14.48,10.18,10.18
2017-09-15,10.18,12.26,8.47,11.4
2017-09-16,11.4,12.29,10.78,11.19
2017-09-17,11.19,11.4,10.26,11.03
2017-09-18,11.03,12.2,11.03,12.06
2017-09-19,12.06,12.25,11.28,11.54
2017-09-20,11.54,11.75,11.15,11.27
2017-09-21,11.27,11.29,10.01,10.04
2017-09-22,10.04,10.61,9.8,10.15
2017-09-23,10.15,10.86,10.03,10.58
2017-09-24,10.58,10.72,10.26,10.41
2017-09-25,10.41,11.14,10.39,11
2017-09-26,11,12.19,10.8,11.49
2017-09-27,11.49,13.3,11.43,12.96
2017-09-28,12.96,13.95,12.66,13.24
2017-09-29,13.24,13.74,12.13,12.7
2017-09-30,12.7,13.51,12.66,13.23
2017-10-01,13.23,13.24,12.62,12.92
2017-10-02,12.92,12.98,12.4,12.43
2017-10-03,12.43,12.54,11.78,12.29
2017-10-04,12.29,12.39,11.78,11.79
2017-10-05,11.79,12.08,11.51,11.91
2017-10-06,11.91,12.41,11.9,12.33
2017-10-07,12.33,12.55,12.04,12.37
2017-10-08,12.37,12.58,12.11,12.11
2017-10-09,12.11,12.17,10.94,11.43
2017-10-10,11.43,11.69,11.26,11.41
2017-10-11,11.41,11.53,11.27,11.45
2017-10-12,11.45,11.97,11.35,11.73
2017-10-13,11.73,12.39,11.31,12.05
2017-10-14,12.05,12.5,11.87,12.19
2017-10-15,12.19,12.48,11.54,11.96
2017-10-16,11.96,12.19,11.81,11.93
2017-10-17,11.93,12.49,11.6,11.86
2017-10-18,11.85,11.85,10.66,11.45
2017-10-19,11.45,11.51,11.12,11.29
2017-10-20,11.29,11.46,11.1,11.12
2017-10-21,11.09,11.26,10.64,10.84
2017-10-22,10.84,11.18,10.5,10.67
2017-10-23,10.66,10.66,9.66,10.05
2017-10-24,10.05,11.07,9.61,10.44
2017-10-25,10.44,10.57,10.12,10.47
2017-10-26,10.47,10.65,10.27,10.35
2017-10-27,10.38,10.61,9.8,10.28
2017-10-28,10.29,10.49,9.97,10.38
2017-10-29,10.37,11.09,10.37,10.83
2017-10-30,10.83,10.99,10.72,10.8
2017-10-31,10.81,10.88,10.51,10.52
2017-11-01,10.5,10.61,10.11,10.11
2017-11-02,10.11,10.24,9.43,10.03
2017-11-03,9.98,12.56,9.95,12.49
2017-11-04,12.34,12.51,11.27,11.77
2017-11-05,11.77,14.22,11.56,13.1
2017-11-06,13.1,15.24,12.94,13.84
2017-11-07,13.84,14.68,13.15,13.52
2017-11-08,13.51,14.2,13.45,13.9
2017-11-09,13.89,14.51,13.77,14.04
2017-11-10,14.04,15.37,13.51,14.39
2017-11-11,14.39,19.43,14.32,19.19
2017-11-12,19.19,21.35,14.45,14.67
2017-11-13,14.67,16.37,14.11,15.85
2017-11-14,15.85,18.42,15.83,17.37
2017-11-15,17.37,17.82,16.55,17.14
2017-11-16,17.14,17.19,16.11,16.84
2017-11-17,16.84,17.69,16.48,17.1
2017-11-18,17.1,18.17,16.73,17.62
